code,name,category,protkcal,fatkcal,carbkcal,protfac,5fthf,5fthf_e,5mthf,5mthf_e,ala,ala_e,arg,arg_e,ash,ash_e,asp,asp_e,aved5,aved5_e,b,b_e,betn,betn_e,biot,biot_e,brastr,brastr_e,ca,ca_e,camstl,camstl_e,camt,camt_e,carta,carta_e,cartb,cartb_e,cartbcis,cartbcis_e,cartbt,cartbt_e,cartg,cartg_e,chlnp,chlnp_e,choavldf,choavldf_e,chocal,chocal_e,chocaloh,chocaloh_e,chocsm,chocsm_e,cholc,cholc_e,choln,choln_e,cholnf,cholnf_e,cholngpc,cholngpc_e,cholnpc,cholnpc_e,cholnsm,cholnsm_e,citac,citac_e,co,co_e,crypxa,crypxa_e,crypxb,crypxb_e,cu,cu_e,cys,cys_e,cyste,cyste_e,daidzn,daidzn_e,ddzein,ddzein_e,egt,egt_e,enerc,enerc_e,enercawg,enercawg_e,enercaws,enercaws_e,erg5d7dienol,erg5d7dienol_e,erg7d22dienol,erg7d22dienol_e,erg7enol,erg7enol_e,ergcal,ergcal_e,ergstr,ergstr_e,f10d0,f10d0_e,f11d0,f11d0_e,f12d0,f12d0_e,f12d1,f12d1_e,f14d0,f14d0_e,f14d1c,f14d1c_e,f14d1t,f14d1t_e,f15d0,f15d0_e,f15d1,f15d1_e,f16d0,f16d0_e,f16d1,f16d1_e,f16d1t,f16d1t_e,f17d0,f17d0_e,f17d1,f17d1_e,f17d1c,f17d1c_e,f18d0,f18d0_e,f18d1,f18d1_e,f18d1c,f18d1c_e,f18d1t,f18d1t_e,f18d2,f18d2_e,f18d2c,f18d2c_e,f18d2cla,f18d2cla_e,f18d2cn3,f18d2cn3_e,f18d2cn6,f18d2cn6_e,f18d2t,f18d2t_e,f18d3,f18d3_e,f18d3c,f18d3c_e,f18d3cn3,f18d3cn3_e,f18d3t,f18d3t_e,f18d4,f18d4_e,f20d0,f20d0_e,f20d1,f20d1_e,f20d1c,f20d1c_e,f20d1t,f20d1t_e,f20d2,f20d2_e,f20d2cn6,f20d2cn6_e,f20d3,f20d3_e,f20d3c,f20d3c_e,f20d3n6,f20d3n6_e,f20d3n9,f20d3n9_e,f20d4,f20d4_e,f20d4c,f20d4c_e,f20d5,f20d5_e,f20d5n3,f20d5n3_e,f21d0,f21d0_e,f22d0,f22d0_e,f22d1,f22d1_e,f22d1cn11,f22d1cn11_e,f22d1n9,f22d1n9_e,f22d1tn9,f22d1tn9_e,f22d2,f22d2_e,f22d3,f22d3_e,f22d4,f22d4_e,f22d5,f22d5_e,f22d5n3,f22d5n3_e,f22d6,f22d6_e,f22d6n3,f22d6n3_e,f23d0,f23d0_e,f24d0,f24d0_e,f24d1,f24d1_e,f4d0,f4d0_e,f5d0,f5d0_e,f6d0,f6d0_e,f7d0,f7d0_e,f8d0,f8d0_e,f9d0,f9d0_e,fadt,fadt_e,fams,fams_e,fapu,fapu_e,fasat,fasat_e,fat,fat_e,fatnlea,fatnlea_e,fatrans,fatrans_e,fatrnm,fatrnm_e,fatrnp,fatrnp_e,fe,fe_e,fibins,fibins_e,fibsol,fibsol_e,fibtg,fibtg_e,fibtsw,fibtsw_e,fol,fol_e,folhco10,folhco10_e,frus,frus_e,gals,gals_e,glu,glu_e,glucnb,glucnb_e,glus,glus_e,gly,gly_e,glyctn,glyctn_e,gnstein,gnstein_e,gnstin,gnstin_e,gsh,gsh_e,his,his_e,hmwdf,hmwdf_e,hyp,hyp_e,id,id_e,ile,ile_e,k,k_e,lacs,lacs_e,leu,leu_e,lmwdf,lmwdf_e,lutn,lutn_e,lycpn,lycpn_e,lycpncis,lycpncis_e,lycpnt,lycpnt_e,lys,lys_e,lzea,lzea_e,lzeac,lzeac_e,malac,malac_e,mals,mals_e,met,met_e,mg,mg_e,mk4,mk4_e,mn,mn_e,mo,mo_e,na,na_e,ni,ni_e,nia,nia_e,nt,nt_e,oxalac,oxalac_e,p,p_e,pantac,pantac_e,phe,phe_e,phyflu,phyflu_e,phystroth,phystroth_e,phytoene,phytoene_e,pro,pro_e,procnt,procnt_e,pyrac,pyrac_e,quinac,quinac_e,rafs,rafs_e,retol,retol_e,ribf,ribf_e,s,s_e,se,se_e,ser,ser_e,sitstl,sitstl_e,sitstr,sitstr_e,spgr,spgr_e,starch,starch_e,stares,stares_e,stas,stas_e,stgmd,stgmd_e,stgstr,stgstr_e,stigma7,stigma7_e,sucs,sucs_e,sugar,sugar_e,thia,thia_e,thr,thr_e,tocpha,tocpha_e,tocphb,tocphb_e,tocphd,tocphd_e,tocphg,tocphg_e,toctra,toctra_e,toctrb,toctrb_e,toctrd,toctrd_e,toctrg,toctrg_e,trp,trp_e,tyr,tyr_e,val,val_e,vers,vers_e,vita,vita_e,vitaa,vitaa_e,vitb12,vitb12_e,vitb6a,vitb6a_e,vitc,vitc_e,vitd,vitd4,vitd4_e,vitd_e,vitda,vitda_e,vitk1,vitk1_e,vitk1d,vitk1d_e,water,water_e,zea,zea_e,zn,zn_e
321358,"Hummus, commercial","Legumes and Legume Products",3.47,8.37,4.07,6.25,,,,,,,,,1.97,0.3900000000000001,,,,,,,0.0002,0,,,,,0.041,0.031,,,,,0,0,0.000012,0,,,,,,,0.0002,0,14.9,0,,,,,13.9,0,,,0.0466,0,0.0223,0,0.0011,0,0.023,0,0,0,,,,,,,0.000003,0,0.000348,0.000126,,,,,,,,,,,960000,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0.009,0.002,0,0,,,0.004,0.001,0,0,1.41,0.71,0.021,0.012,0,0,0.01,0.008,0.007,0.005,0.007,0,0.634,0.29300000000000004,,,6.25,3.8600000000000003,0.006,0.004999999999999999,,,6.81,0,0.002,0.001,0.02,0.018000000000000002,6.81,3.7800000000000002,0.012,0.009000000000000001,,,0.656,0,0.637,0.331,0,0,0,0,0.079,0.01100000000000001,,,0.084,0.08,,,0.005,0,0.005,0.003,0,0,0,0,0,0,0,0,0.005,0.003,0.005,0,0,0,0,0,,,0.044,0.031,0.001,0,,,0.001,0.003,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0.027,0.024999999999999998,0.005,0.005999999999999999,0,0,,,0,0,,,0,0,,,0.012,0,6.37,0,7.48,0,2.22,0,17.1,7.200000000000001,16.1,0,0.018,0,0.006,0,0,0,0.0024100000000000002,0.0010899999999999998,,,,,,,5.4,0.7999999999999998,0.000036,0.000039999999999999996,,,0.15,0.15,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.289,0.096,0,0,,,,,,,0,0,,,,,,,0.000258,0,,,,,0,0,,,0.0711,0.0254,0,0,0.0010600000000000002,0.0004249999999999999,,,0.438,0.10200000000000001,,,0.000948,0.0002700000000000001,1.18,0.30000000000000004,,,0.166,0.056,0.00031800000000000003,0.00010999999999999999,,,,,,,,,,,7.35,1.8500000000000005,,,,,,,,,0.000115,0.000060000000000000015,,,0.000016199999999999997,0.0000161,,,,,,,,,8.12,1.1000000000000005,,,,,,,,,,,0.18,0.19,0.34,0,0.00015,0.000050000000000000016,,,0.00174,0.0014900000000000002,0.00031,0.00014,0.0013000000000000002,0.00221,0.009470000000000001,0.00558,0,0,0,0,0,0,0,0,,,,,,,,,,,0.000001,0,,,0.00014299999999999998,0.00005,0,0,,,,,,,0.000017199999999999998,0.000012100000000000001,0,0,58.7,9.499999999999993,,,0.00138,0.00033000000000000005
321360,"Tomatoes, grape, raw","Vegetables and Vegetable Products",2.44,8.37,3.57,6.25,,,,,,,,,0.56,0.13,,,,,,,0,0,,,,,0.011,0.006,,,,,0,0,,,0.000049,0.000031,0.00039299999999999996,0.000207,,,0.0012,0,5.51,0,,,,,,,,,0.009800000000000001,0,0.008,0,0,0,0.0006,0,0,0,,,,,0,0,0,0,0.00005800000000000001,0.000043,,,,,,,,,,,113000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,0.35999999999999993,,,,,,,,,0.00033,0.00015999999999999999,,,,,,,2.1,0.30000000000000027,0.000009999999999999999,0.000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.046,,,,,,,0.00009499999999999999,0.000063,0.0040999999999999995,0.00037999999999999997,0.000554,0.00007,,,,,,,0.000012,0.0000049999999999999996,,,,,,,0.0119,0.0024000000000000002,0,0,0.000121,0.000143,,,0.006,0.007,,,0.000805,0.00001000000000000001,0.13,0.03,,,0.028,0.01,,,,,,,,,,,,,0.83,0.18999999999999995,,,,,,,,,0.00006500000000000001,0.00001000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000075,0.000009999999999999996,,,0.00098,0.0002700000000000001,0.00002,0.00002,0.00012,0.00007,0.0007,0.00019000000000000006,0,0,0,0,0,0,0,0,,,,,,,,,NaN,NaN,,,,,0.00006,0.000020000000000000005,0.0272,0.01,,,,,,,0.0000042,0.0000019000000000000002,0,0,92.5,2.6999999999999886,0.000009,0.000003,0.0002,0.00007000000000000001
321611,"Beans, snap, green, canned, regular pack, drained solids","Vegetables and Vegetable Products",2.44,8.37,3.57,6.25,,,,,,,,,0.89,0.3400000000000001,,,,,,,,,,,,,0.036000000000000004,0.016,,,,,,,,,,,,,,,,,4.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000041,0.000031,,,,,,,,,,,87864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.16999999999999998,,,,,,,,,0.0007800000000000001,0.00115,,,,,,,,,,,,,0.64,0.24,0,0,,,,,0.65,0.21999999999999997,,,,,,,,,,,,,,,,,,,,,0.097,0.038,0,0,,,,,,,,,,,,,,,,,,,,,0,0,,,0.0127,0.0036000000000000016,,,0.000176,0.00008599999999999999,,,0.28200000000000003,0.145,,,,,0.17,0.07,,,0.023,0.009000000000000001,,,,,,,,,,,,,1.04,0.43999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,1.2000000000000028,,,0.00019,0.00013000000000000002
323121,"Frankfurter, beef, unheated","Sausages and Luncheon Meats",4.27,9.02,3.87,6.25,,,,,,,,,2.74,1.8199999999999998,,,,,,,,,,,,,0.015,0.021,,,,,,,,,,,,,,,,,2.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000046,0.00004599999999999999,,,,,,,,,,,1313776,0,,,,,,,,,,,,,,,0.015,0.009000000000000001,0,0,0.019,0.004,,,0.84,0.14800000000000002,0.267,0.06,,,0.138,0.028999999999999998,0,0,6.33,0.7699999999999996,0.985,0.3879999999999999,0.087,0.022000000000000006,0.355,0.09499999999999997,0.257,0.063,0.257,0,3.66,0.7999999999999998,,,10.4,2.0599999999999987,1.38,1.088,,,0.794,0,0.169,0.062,0.005,0.005,0.625,0.15500000000000003,0.131,0.05,,,0.084,0,0.078,0.069,0.001,0.002,0.003,0.002,0.029,0.010000000000000002,,,0.117,0.04999999999999999,,,0.008,0,0.008,0.005,0.001,0.003,0.022,0,0.021,0.008,0,0,0.029,0.011000000000000003,0.029,0,0.003,0,0.003,0.002,,,0.008,0.005,0.064,0,,,0.064,0.08499999999999999,0,0,0.001,0.002,,,0.008,0.004,0.013,0,0.013,0.005000000000000001,0,0,0,0,,,0.002,0.002,0.005,0.005999999999999999,0.004,0.004,,,0,0,,,0.005,0.009000000000000001,,,0.131,0,12.1,0,0.954,0,11.4,0,28,5.5,26,0,1.59,0,1.46,0,0.001,0,0.00114,0.00056,,,,,,,,,0,0,,,0,0,0,0,,,,,1.17,1.1099999999999999,,,,,,,,,,,,,,,,,,,,,0.343,0.316,0,0,,,,,,,,,,,,,,,,,,,,,0.09,0.19000000000000003,,,0.0115,0.0087,,,0.000031,0.000029,,,0.872,0.308,,,0.0022500000000000003,0.0004900000000000002,1.87,0.27,,,0.128,0.08,0.000263,0.00015,,,,,,,,,,,11.7,1.700000000000001,,,,,,,0.000003,0.000003,0.000154,0.00009999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1.26,0,0.000033,0.000015000000000000004,,,0.00051,0.00051,0,0,0,0,0.00017,0.00019999999999999998,0,0,0,0,0,0,0,0,,,,,,,,,,,0.000003,0,9.7e-7,2.600000000000001e-7,0.00013000000000000002,0.000044,,,,,,,,,,,,,54.6,5.199999999999996,,,0.00206,0.0009599999999999998
323294,"Nuts, almonds, dry roasted, with salt added","Nut and Seed Products",3.47,8.37,4.07,5.18,,,,,,,,,3.47,1.5400000000000005,,,,,,,0,0,,,,,0.273,0.081,,,,,0,0,0.000017,0,,,,,,,0,0,16.2,0,,,,,,,,,0.0608,0,0.0043,0,0.0004,0,0.056100000000000004,0,0,0,,,,,,,0.000009,0,0.00087,0.00010399999999999998,,,,,,,,,,,2594080,0,,,,,,,,,,,,,,,0,0.003,0,0,0,0,,,0.027,0.034999999999999996,0,0,,,0.008,0.001999999999999999,0,0,3.54,0.7999999999999998,0.259,0.052999999999999964,0,0,0.028,0.002999999999999999,0.061,0.009000000000000001,0.061,0,0.828,0.241,,,33.8,3.799999999999997,0.016,0.004999999999999999,,,14.5,0,0.006,0.002,0.002,0.004,14.5,3.0000000000000018,0.016,0.004999999999999999,,,0.052,0,0.05,0.09,0,0,0,0,0.059,0.04700000000000001,,,0.076,0.07400000000000001,,,0,0,0,0.003,0,0,0,0,0,0,0,0,0.005,0.002,0.005,0,0.002,0,0.002,0.01,,,0.042,0.10300000000000001,0.001,0,,,0.001,0.003,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0.024,0.057,0.001,0.004,0.001,0.009000000000000001,,,0,0,,,0,0,,,0.016,0,34.2,0,14.5,0,4.56,0,57.8,6.899999999999999,53.4,0,0.032,0,0.016,0,0,0,0.00317,0.0006299999999999999,,,,,,,11,0.9000000000000004,0.000035,0.000014999999999999999,,,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,0.684,0.132,0,0,,,,,,,0,0,,,,,,,0.000024999999999999998,0,,,,,0,0,,,0.258,0.031,0,0,0.00202,0.0006200000000000001,,,0.256,0.497,,,0.0031000000000000003,0.001,3.94,0.5100000000000002,,,0.456,0.038,0.000237,0.00009999999999999998,,,,,,,,,,,20.4,2.599999999999998,,,,,,,,,0.00157,0.00054,,,0,0,,,,,,,,,,,,,,,,,,,,,4.17,0.71,4.17,0,0.000079,0.00005,,,0.019,0.0058000000000000005,0.00017999999999999998,0.00007000000000000001,0,0,0.00092,0.0011099999999999999,0.00028000000000000003,0.00007000000000000001,0,0,0,0,0,0,,,,,,,,,,,0.000002,0,,,0.000075,0.000020000000000000005,0,0,,,,,,,0,0,0,0,2.2,1.94,,,0.0028,0.0003799999999999999
323505,"Kale, raw","Vegetables and Vegetable Products",2.44,8.37,3.57,6.25,,,,,,,,,1.54,0.49,,,,,,,,,,,,,0.254,0.078,,,,,0,0,0.0028699999999999997,0.0016699999999999998,,,,,,,,,4.42,0,,,,,,,,,,,,,,,,,,,,,,,,,0.000027,0.000018,0.000053,0.000042999999999999995,,,,,,,,,,,148000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,0.13000000000000012,,,,,,,,,0.0016,0.00284,,,,,,,4.1,0.20000000000000018,0.000062,0.000018999999999999998,,,0.4,0.19,0,0,,,,,0.4,0.15999999999999998,,,,,,,,,,,,,,,,,,,,,0.34800000000000003,0.088,0,0,,,,,,,0,0,,,,,,,0.00626,0.0040999999999999995,,,,,0,0,,,0.03270000000000001,0.0174,0,0,0.00092,0.000948,,,0.053,0.091,,,0.00118,0.00066,0.47,0.25,,,0.055,0.015,0.00037,0,,,,,,,,,,,2.92,1.56,,,,,,,,,0.000347,0.00014999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.8,0,0.00011300000000000001,0.00005,,,0.00066,0.00025,0,0,0,0,0.00014000000000000001,0.0001,0,0,0,0,0,0,0,0,,,,,,,,,,,0.00024099999999999998,0,,,0.000147,0.00004000000000000001,0.09340000000000001,0.019599999999999996,,,,,,,0.00039,0.000053,0,0,89.6,1.4000000000000057,,,0.00039000000000000005,0.00036999999999999994
323604,"Egg, whole, raw, frozen, pasteurized","Dairy and Egg Products",4.36,9.02,3.68,6.25,,,,,,,,,1.16,0.28,,,,,,,,,,,,,0.055,0.015,,,,,,,,,,,,,,,,,0.91,0,0.0000022999999999999996,0.0000042999999999999995,6e-7,4e-7,,,0.42,0.078,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,627600,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,2.1099999999999994,,,,,,,,,0.00177,0.0004499999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00006159999999999999,0.0000358,,,0.117,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0112,0.002300000000000001,,,0,0,,,0.121,0.037,,,,,1.97,0.13000000000000012,,,0.189,0.03,,,,,,,,,,,,,12.3,0.7999999999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000022999999999999996,,,0,91,0,,,,,75.4,2.700000000000003,,,0.0012,0.00026000000000000003
323697,"Egg, white, raw, frozen, pasteurized","Dairy and Egg Products",4.36,9.02,3.68,6.25,,,,,,,,,0.7,0.15000000000000002,,,,,,,,,,,,,0.009000000000000001,0.015,,,,,,,,,,,,,,,,,0.74,0,0,0,0,0,,,0.003,0.004,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,201000,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,,,,,,,,,0.00017999999999999998,0.0013100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0.13,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0106,0.003,,,0,0,,,0.14400000000000002,0.078,,,,,1.61,0.17999999999999994,,,0,0,,,,,,,,,,,,,10.1,1.0999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,,,88.3,1.0999999999999943,,,0.00002,0.00029
323793,"Egg, white, dried","Dairy and Egg Products",4.36,9.02,3.68,6.25,,,,,,,,,5.47,1.12,,,,,,,,,,,,,0.10400000000000001,0.107,,,,,,,,,,,,,,,,,6.02,0,0,0,0,1e-7,,,0.017,0.017,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,1573184,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.4799999999999999,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000034,0.000036899999999999996,,,0.9590000000000001,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0876,0.010899999999999991,,,0,0,,,1.25,0.29,,,,,12.8,0.6999999999999993,,,0.107,0.015,,,,,,,,,,,,,79.9,4.799999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,,,,,7.98,2.8899999999999997,,,0.00043,0.00022000000000000003
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven","Vegetables and Vegetable Products",3.7,8.8,4,6.07,,,,,,,,,1.44,0.74,,,,,,,0.0364,0,,,,,0.028,0.033,,,,,,,,,,,,,,,0.0033,0,36.3,0,,,,,34,0,,,0.0107,0,0.004900000000000001,0,0.002,0,0.0005,0,0,0,,,,,,,,,0.000081,0.00006800000000000001,,,,,,,,,,,1210000,0,,,,,,,,,,,,,,,0.012,0.004999999999999999,0,0,0.005,0.003,,,0.011,0.002999999999999999,0,0,,,0.004,0.002,0,0,1.45,0.3999999999999999,0.012,0.004999999999999999,0,0,0.014,0.005000000000000001,0.007,0.002,0.007,0,0.559,0.17100000000000004,,,2.81,0.8499999999999996,0.008,0.016,,,6.66,0,0.004,0.002,0.047,0.011000000000000003,6.66,2.0500000000000007,0.032,0.020999999999999998,0,0,0.906,0,0.859,0.29600000000000004,,,0,0,0.036,0.013000000000000005,0.041,0.023,0.041,0,,,0.003,0,0.003,0.002,0,0,0,0,0,0,0,0,0.005,0.001,0.005,0,0,0,0,0,,,0.04,0.009999999999999995,0,0,,,,,0.001,0.002,0,0,,,0,0,0,0,0,0,0,0,0,0,,,0.015,0.002,0,0,0,0,,,0,0,,,0.006,0.013,,,0.032,0,2.87,0,7.58,0,2.15,0,14.4,3.200000000000001,12.6,0,0.041,0,0.01,0,,,0.00114,0.00074,,,,,,,2.4,0.9999999999999998,0.000031,0.000021,,,1.21,0.2999999999999998,0,0,,,,,1.2,0.6000000000000001,,,,,,,,,,,,,,,,,,,,,0.135,0.062,0.03,0.17,,,,,,,,,,,,,,,,,,,,,0.71,0.20000000000000007,,,0.020399999999999998,0.0151,,,0.000435,0.000391,,,0.374,0.293,,,0.00157,0.00075,0.74,0.4,,,0.075,0.042,0.000302,0.00014000000000000001,,,,,,,,,,,4.52,2.4199999999999995,,,,,,,,,0.00011600000000000001,0.000050000000000000016,,,0.0000056,0.0000012999999999999998,,,,,,,,,27.2,9.5,,,,,,,,,,,1.34,2.1,4.5,0,0.00019600000000000002,0.00008999999999999999,,,0.00057,0.00035999999999999997,0.00098,0.00624,0.00196,0.00194,0.0034700000000000004,0.0044599999999999996,0,0,0.0002,0.00023,0,0,0,0,,,,,,,,,,,,,,,0.000127,0.000039999999999999996,0.0016,0.00009999999999999987,,,,,,,,,,,43.4,13,,,0.00059,0.0007199999999999999
